Timestamp,[PMBUS] VCCINT Voltage,[PMBUS] VCCINT Current,[PMBUS] VCCINT Power,[PMBUS] VCCINT Temperature,[PMBUS] VCCBRAM Voltage,[PMBUS] VCCBRAM Current,[PMBUS] VCCBRAM Power,[PMBUS] VCCBRAM Temperature,[PMBUS] VCCPSINTFP Voltage,[PMBUS] VCCPSINTFP Current,[PMBUS] VCCPSINTFP Power,[PMBUS] VCCPSINTFP Temperature,[PMBUS] DDR4_DIMM_VDDQ Voltage,[PMBUS] DDR4_DIMM_VDDQ Current,[PMBUS] DDR4_DIMM_VDDQ Power,[PMBUS] DDR4_DIMM_VDDQ Temperature,[PMBUS] VCCPSINTLP Voltage,[PMBUS] VCCPSINTLP Current,[PMBUS] VCCPSINTLP Power,[PMBUS] VCCPSINTLP Temperature,[HWMON] VCCO_PSDDR_504 Voltage,[HWMON] VCCO_PSDDR_504 Current,[HWMON] VCCO_PSDDR_504 Power,[HWMON] VCCO_PSDDR_504 Temperature,[PMBUS] VCCAUX Voltage,[PMBUS] VCCAUX Current,[PMBUS] VCCAUX Power,[PMBUS] VCCAUX Temperature,
7622407394910,3481,47914,57858,65535,3482,36193,57940,65535,3482,47697,57919,65535,4913,45580,58036,65535,3482,43646,58004,65535,1191,190,225000,65535,7371,41795,58006,65535,
7622549651110,3481,47937,57858,65535,3480,33957,57938,65535,3480,47841,57919,65535,4915,43868,58034,65535,3481,43652,58004,65535,1192,170,200000,65535,7371,41785,58002,65535,
7622687220800,3481,48064,57858,65535,3480,36234,57938,65535,3480,47759,57919,65535,4915,43842,58034,65535,3481,43646,58007,65535,1193,150,187000,65535,7371,41768,58002,65535,
7622824515580,3481,47873,57858,65535,3482,36315,57940,65535,3480,47765,57919,65535,4915,43808,58026,65535,3481,43645,58004,65535,1193,157,187000,65535,7373,41773,58004,65535,
7622961654860,3481,47847,57868,65535,3482,36257,57940,65535,3482,47671,57921,65535,4913,43757,58026,65535,3481,43650,58004,65535,1192,157,187000,65535,7371,41781,58004,65535,
7623099048250,3480,47864,57868,65535,3482,33979,57940,65535,3482,47769,57921,65535,4915,43832,58036,65535,3482,43655,58006,65535,1193,158,187000,65535,7373,41781,58002,65535,
7623236332700,3481,47890,57858,65535,3480,33867,57940,65535,3482,47799,57919,65535,4915,43834,58036,65535,3481,43652,58006,65535,1192,163,187000,65535,7371,41782,58002,65535,
7623373692710,3480,47907,57858,65535,3480,36309,57938,65535,3482,47774,57919,65535,4915,43793,58034,65535,3481,43660,58006,65535,1193,168,200000,65535,7373,41760,58006,65535,
7623511092580,3480,47849,57864,65535,3482,36126,57938,65535,3480,47669,57923,65535,4913,43797,58034,65535,3482,43649,58006,65535,1193,156,187000,65535,7373,41769,58006,65535,
7623648471350,3481,47911,57864,65535,3480,36308,57940,65535,3480,47772,57923,65535,4915,43815,58028,65535,3482,43641,58009,65535,1192,156,187000,65535,7373,41781,58006,65535,
7623785799780,3481,47847,57862,65535,3482,36207,57940,65535,3486,47674,57919,65535,4913,43819,58032,65535,3481,43652,58009,65535,1193,159,187000,65535,7373,41789,58006,65535,
7623923224090,3481,47802,57872,65535,3482,36342,57943,65535,3480,47776,57917,65535,4915,43845,58032,65535,3481,43660,58009,65535,1193,154,187000,65535,7373,41783,58002,65535,
7624060536580,3480,48026,57872,65535,3482,36284,57943,65535,3482,47661,57917,65535,4915,43855,58034,65535,3481,43642,58009,65535,1193,154,187000,65535,7373,41770,58006,65535,
7624197856310,3481,47836,57868,65535,3482,36263,57936,65535,3480,47677,57919,65535,4913,43826,58034,65535,3481,43641,58006,65535,1193,156,187000,65535,7371,41800,58006,65535,
7624335177340,3480,47761,57868,65535,3480,36307,57940,65535,3480,47770,57919,65535,4913,43811,58030,65535,3482,43653,58011,65535,1192,170,200000,65535,7371,41788,58006,65535,
7624473626360,3481,47840,57860,65535,3480,36336,57940,65535,3482,47765,57923,65535,4915,43868,58030,65535,3481,43655,58011,65535,1193,152,187000,65535,7373,41796,58006,65535,
7624610916310,3481,45986,57860,65535,3480,36134,57940,65535,3482,47663,57923,65535,4913,43835,58034,65535,3482,43638,58009,65535,1193,158,187000,65535,7373,41791,58006,65535,
7624748290220,3481,47946,57866,65535,3480,36178,57940,65535,3482,47768,57923,65535,4915,43792,58034,65535,3481,43651,58009,65535,1192,171,200000,65535,7371,41782,58006,65535,
7624885656260,3480,47890,57866,65535,3482,33845,57941,65535,3478,47806,57923,65535,4915,43810,58032,65535,3482,43639,58004,65535,1193,156,187000,65535,7373,41785,58002,65535,
7625023007220,3480,47769,57868,65535,3482,36249,57941,65535,3482,47672,57926,65535,4915,43833,58032,65535,3481,43653,58004,65535,1192,152,187000,65535,7373,41786,58002,65535,
7625161630970,3481,47924,57868,65535,3482,36184,57938,65535,3482,47765,57926,65535,4913,43828,58038,65535,3481,43655,58006,65535,1192,153,187000,65535,7371,41794,58009,65535,
7625298923430,3480,47959,57866,65535,3482,36329,57938,65535,3480,47779,57919,65535,4913,43842,58034,65535,3481,43644,58006,65535,1192,166,200000,65535,7373,41811,58009,65535,
7625436277060,3480,47786,57866,65535,3480,36324,57936,65535,3480,47682,57919,65535,4915,43806,58034,65535,3481,43651,58004,65535,1193,160,187000,65535,7371,41797,58007,65535,
7625573562870,3480,47877,57866,65535,3482,36173,57936,65535,3482,47682,57919,65535,4913,43833,58036,65535,3482,43649,58004,65535,1193,157,187000,65535,7371,41774,58007,65535,
7625710834750,3480,47937,57862,65535,3480,33933,57943,65535,3482,47756,57921,65535,4915,43826,58036,65535,3481,43645,58006,65535,1192,163,200000,65535,7373,41781,58007,65535,
7625848194140,3481,47937,57862,65535,3482,36285,57934,65535,3480,47777,57921,65535,4913,43845,58034,65535,3482,43638,58006,65535,1193,156,187000,65535,7371,41795,58002,65535,
7625985831990,3480,47840,57868,65535,3482,36185,57934,65535,3482,47663,57917,65535,4915,43832,58034,65535,3481,43656,58009,65535,1193,157,187000,65535,7373,41810,58002,65535,
7626123782190,3481,48002,57868,65535,3480,36205,57936,65535,3482,47754,57917,65535,4913,43832,58038,65535,3481,43650,58009,65535,1193,160,187000,65535,7371,41802,58004,65535,
7626261094420,3481,47726,57866,65535,3480,33923,57936,65535,3482,47785,57923,65535,4915,43806,58038,65535,3481,43641,58009,65535,1192,157,187000,65535,7373,41800,58004,65535,
7626398439680,3481,47690,57866,65535,3482,33947,57938,65535,3480,47773,57923,65535,4913,43817,58034,65535,3482,43645,58006,65535,1192,158,187000,65535,7371,41786,58006,65535,
7626535781940,3480,48043,57866,65535,3482,36297,57938,65535,3480,47776,57926,65535,4913,43802,58034,65535,3482,43653,58006,65535,1192,155,187000,65535,7371,41788,58006,65535,
7626673145920,3481,47875,57866,65535,3482,36214,57941,65535,3480,47668,57926,65535,4913,43841,58034,65535,3482,43642,58009,65535,1193,154,187000,65535,7371,41772,58004,65535,
7626810429970,3480,48064,56317,65535,3482,33921,57941,65535,3482,47689,57919,65535,4913,43842,58030,65535,3481,43648,58009,65535,1193,154,187000,65535,7371,41787,58004,65535,
7626948072250,3481,47907,56317,65535,3480,36228,57934,65535,3482,47779,57919,65535,4915,43835,58030,65535,3482,43646,58006,65535,1192,153,187000,65535,7373,41796,58004,65535,
7627085416390,3480,47926,57866,65535,3482,36327,57934,65535,3482,47776,57923,65535,4913,43826,58038,65535,3481,43638,58006,65535,1193,161,187000,65535,7373,41788,58002,65535,
7627222680520,3480,47763,57860,65535,3482,36328,57936,65535,3480,47811,57923,65535,4915,43841,58038,65535,3481,43643,58009,65535,1192,166,200000,65535,7373,41774,58002,65535,
7627360268750,3480,47864,57860,65535,3480,36168,57941,65535,3480,47774,57923,65535,4915,43832,58032,65535,3481,43645,58009,65535,1193,158,187000,65535,7371,41791,58009,65535,
